Date,Year,HR,Position,Bout,With Whom,Notes
2/6/2010,2010,Gia de los Muertos,PTA2,Michigan Mitten Kittens at SD,PT: Gwen,
3/5/2010,2010,Smashley,PT,SDDD and Friends at LADD and Friends,PTA: Felon,
3/20/2010,2010,Smashley,PT,Sirens at Swarm,PTA: Uber Alice,
5/8/2010,2010,Smashley,SB,Team Legit at SDDD Banked All Stars,,
5/15/2010,2010,Gia de los Muertos,PTA,Swarm at Fight Crew,PT: Gwen,
9/25/2010,2010,Roger Assaultrey,SB,VB at Swarm,,First Bout with my scoreboard software
10/16/2010,2010,Smashley,OPR,BADG at SDDD Banked Track All Stars,w/ Refadillo,
10/23/2010,2010,Charlie Frown,SB,Swarm at Tough Cookies,,
11/6/2010,2010,Smashley,FPR,Black vs. Turquoise,w/ Bobby,
1/15/2011,2011,Bobby McReffin,OPR,Sirens at Hard Corps,w/ Refadillo,
2/12/2011,2011,Gia de los Muertos,PTA,Swam at Sirens,PT: Gwen,
3/5/2011,2011,Bobby McReffin,FPR,SDDD and Friends at LADD and Friends,w/ Charlie Frown,
3/26/2011,2011,Bobby McReffin,FPR,Rocky Mountain at SDDD Banked Track All Stars,w/ Tootie Tinwhistle,
5/7/2011,2011,Charlie Frown,PB,Swarm at Varsity Brawlers,w/ Felon D. Generous,
6/4/2011,2011,Cameltron,PT,Reno at OCRG,PTA: Shaolin Punk,
9/24/2011,2011,Bobby McReffin,FPR,Tough Cookies at Swarm,w/ Double Fist,
11/5/2011,2011,Screwy Lewis,Skate Alt/Shadow HR,Fight Crew at Swarm,,
12/10/2011,2011,Gia de los Muertos,EYE,Swarm at Sirens LA Champs Game,w/ Hurtin' Ernie,
1/21/2012,2012,Gia de los Muertos,EYE,Wildfires at Ri-ettes,w/ Third Degree Burns,
1/28/2012,2012,Screwy Lewis,FPR,Varsity Brawlers at Swarm,w/ Oliver Clothesoff,
2/18/2012,2012,Screwy Lewis,GE,Oly Rollers at Wildfires,,
3/10/2012,2012,Cameltron,EYE,SDDD and Friends at LADD and Friends,w/ Oliver Clothesoff,
3/24/2012,2012,Dave Brawlings,HR,Fight Crew at Diego Rollers,GE: Sailor Jack,
4/7/2012,2012,Screwy Lewis,BPR,Salt City Shakers at Hard Corps,w/ Awesome Sauce,
5/12/2012,2012,Screwy Lewis,SB,Ri-ettes at Wildfires,,
9/15/2012,2012,Screwy Lewis,BPR,Kansas City at Hard Corps,w/ Awesome Sauce,
9/29/2012,2012,Tricky Ricardo,BPR,Diego Rollers at Tough Cookies,w/ Thomas Refferson,
9/30/2012,2012,Marsha Law,OPR,Swarm at Fight Crew,w/ The D Mann,
10/13/2012,2012,Screwy Lewis,BPR,AZDD at Swarm,w/ Awesome Sauce,
11/10/2012,2012,Screwy Lewis,FPR,SR99 at Diego Rollers,w/ Erin Judgement,
12/8/2012,2012,Screwy Lewis,SB,Diego Rollers at Swarm Champs Game,,
2/8/2013,2013,Screwy Lewis,FPR,Steel City at Wildfires,w/ Gia de los Muertos,
2/9/2013,2013,Screwy Lewis,BPR,Steel City vs. Dairyland  at SDDD,w/ Bill O'Fights,
2/9/2013,2013,Screwy Lewis,SB,Dairyland at Wildfires,,
3/2/2013,2013,Screwy Lewis,BPR,Tilted Thunder at Wildfires,w/ Erin Judgement,
3/3/2013,2013,Cameltron,OPR,Tilted Thunder vs. OCRG   at SDDD,w/ Screwy Lewis,
3/9/2013,2013,Roger Assaultrey,PB,SDDD and Friends at LADD and Friends,w/ Namaslay,
4/6/2013,2013,Marsha Law,EYE,Wildfires at Ri-ettes,w/ Volt Ron,
4/13/2013,2013,Screwy Lewis,FPR,OC Juniors at SD Juniors,w/ Mt. Everett,
4/13/2013,2013,Screwy Lewis,EYE,AZDD at Wildfires,w/ Rush2Judge,
5/4/2013,2013,Screwy Lewis,BPR,OC at Wildfires,w/ Sweep the Leg Johnny,
5/11/2013,2013,Marsha Law,JR,SD at Sugartown,w/ Santa Demonica,
9/1/2013,2013,Awesome Sauce,JR,Cruz at Diego Rollers,w/ Cameltron,Hottest Game Ever
9/21/2013,2013,Screwy Lewis,WB,OCRG at Diego Rollers,,
9/21/2013,2013,Screwy Lewis,FPR,Swarm at Hard Corps,w/ Erin Judgement,
10/12/2013,2013,Dave Brawlings,HR,Slice Girls at Juvenile Dollinquents,,
