Bout Date,Year,HR,Position,Bout,Notes,More Notes,
1/23/2010,2010,Smashley,LT,AZDD at San Diego,w/ Mile Heidi,,
2/20/2010,2010,Smashley,PT,Hard Corps at Mission City (SB),w/ Sinnamon Tart,,
4/3/2010,2010,Conan the Vegetarian,LT,Atlanta vs. ACDG at SD ,w/ Tomikaze!,WFTDA Sanctioned,
4/3/2010,2010,Smashley,PB,Atlanta at SD,w/ Fire N. Jen,Refadillo PBM,
5/22/2010,2010,McFly,PB,Hidden City at SCRD,w/ Refadillo,,
6/19/2010,2010,Screwy Lewis,JT,Hard Corps at SCRD,,,
7/17/2010,2010,Screwy Lewis,JT,Santa Maria Ruff Rollers at SCRD,,,
10/2/2010,2010,Smashley,BPR,Okanaga Peach Tarts at Hard Corps,,,
10/9/2010,2010,Screwy Lewis,SK,Santa Cruz at SCRD,w/ Hue Refner,,
4/23/2011,2011,Topper Bottom,OPR,Hard Corps at Sin City,w/ Teddy Terror,w/ CORPSeMan,
6/18/2011,2011,Screwy Lewis,JR,Hard Corps at SDRD,w/ Bobby Light,,
6/25/2011,2011,Hue Refner,FPR,Hard Corps at Santa Cruz,,,
7/23-24/2011,2011,Not a bout; no HR,Clinic,WFTDA Ref Clinic in Seattle w/ Curtis E. Lay,w/ Tripp N. Dale ,w/ Pantichrist,
10/8/2011,2011,McFly,OPR,Inland Empire at OCRG,w/ Cameltron,,
10/8/2011,2011,McFly,JR,Hard Corps at OCRG,w/ Screwy Lewis,,
10/23/2011,2011,Justin Bibe,JT,Vampires vs. Catrinas w/ SCRD,,Juniors,
10/23/2011,2011,Screwy Lewis,OPR,Vampires vs. Catrinas w/ SCRD,w/ Bobby McReffin,Adults,
11/12/2011,2011,Cameltron,PT,OCRG Home Teams Game 1,w/ Bad Medizen,,
11/12/2011,2011,Cameltron,PT,OCRG Home Teams Game 2,w/ Bad Medizen,,
11/12/2011,2011,Cameltron,FPR,Wildfires at OCRG,,,
3/3/2012,2012,Cameltron,OPR,Hidden City at OCRG,w/ Dr. Evil,w/ Justin Bibe,
3/3/2012,2012,Cameltron,FPR,Wildfires at OCRG,,,
4/14/2012,2012,Master DeSkater,OPR,A-Town Asylum at Bakersfield Diamond Divas,w/ Pinball ,w/ Oddjob,
4/14/2012,2012,Master DeSkater,OPR,Hard Corps at Bakersfield Diamond Divas,w/ Oddjob,w/ Banshee,
5/5/2012,2012,Screwy Lewis,JT,NoTown at SCRD (C Teams),,,
5/5/2012,2012,Lollerskates,JR,NoTown at SCRD (B Teams),w/ Screwy Lewis,,
5/19/2012,2012,Override,FPR,Crash Test Bunnies at Psycho Ex GFs (OCRG),,,
5/19/2012,2012,McFly,JR,Hard Corps at OCRG,w/ Screwy Lewis,,
8/25/2012,2012,Justin Bibe,PBS,Hard Corps at SCRG,w/ Refrehensible,w/ Blue,
3/29/2013,2013,Rowdy Rodbuster,JR,Dirt City at Hidden City,w/ McSteamy,,
3/29/2013,2013,Rowdy Rodbuster,FPR,Swarm at Hidden City,,,
1/18/2014,2014,Rowdy Rodbuster,FPR,San Fernando Valley at So. Cal.,,,
3/22/2014,2014,Charmer,IWB,Wildfires at ACDG Shore Shots,,,
5/10/2014,2014,Rowdy Rodbuster,OPR,Rollin Ninjas vs. Coastbusters,w/ Karen and  Bald Piggie,1/2 game,
5/10/2014,2014,Rowdy Rodbuster,JR,Wildfires at Starlettes,w/ Griffin,,
5/11/2014,2014,Rowdy Rodbuster,JR,Sparks at Bandettes,w/ Griffin,,
7/12/2014,2014,Griffin,FPR,Central Coast at Hidden City,w/ Griffin,B Teams,
